,make,model,year,transmission,fuel_type,mileage,price,platform
0,HONDA,City,2014,AUTOMATIC,Gasoline,50000.0,510000,autodeal
1,TOYOTA,Hiace,2018,AUTOMATIC,Diesel,40000.0,1380000,autodeal
2,CHEVROLET,Trailblazer,2015,AUTOMATIC,Diesel,0.0,748000,autodeal
3,HYUNDAI,H-100,2020,MANUAL,Diesel,29000.0,758000,autodeal
4,TOYOTA,Innova,2018,MANUAL,Diesel,48000.0,799000,autodeal
5,MAZDA,6 Sport Wagon,2018,AUTOMATIC,Gasoline,20000.0,1090000,autodeal
6,NISSAN,Sentra,2012,AUTOMATIC,Gasoline,60000.0,239000,autodeal
7,MAZDA,CX-5,2013,AUTOMATIC,Gasoline,50000.0,570000,autodeal
8,HYUNDAI,H-100,2020,MANUAL,Diesel,36000.0,758000,autodeal
9,TOYOTA,Hilux,2013,MANUAL,Diesel,71000.0,718000,autodeal
10,FORD,Everest,2016,AUTOMATIC,Diesel,70000.0,920000,autodeal
11,MITSUBISHI,Montero Sport,2014,AUTOMATIC,Diesel,60000.0,710000,autodeal
12,SUZUKI,Ertiga,2015,AUTOMATIC,Gasoline,60000.0,520000,autodeal
13,MITSUBISHI,Strada,2017,MANUAL,Diesel,66000.0,728000,autodeal
14,CADILLAC,DeVille V8,1994,AUTOMATIC,Gasoline,100000.0,178000,autodeal
15,CHEVROLET,Trailblazer,2016,AUTOMATIC,Diesel,50000.0,760000,autodeal
16,MITSUBISHI,Lancer,1997,MANUAL,Gasoline,120000.0,88000,autodeal
17,FORD,Everest,2016,AUTOMATIC,Diesel,60000.0,920000,autodeal
18,NISSAN,Sylphy,2018,CVT,Gasoline,6060.0,840000,autodeal
19,FORD,Focus Sedan,2013,AUTOMATIC,Gasoline,80000.0,350000,autodeal
20,TOYOTA,Fortuner,2014,AUTOMATIC,Diesel,70000.0,850000,autodeal
21,FORD,Everest,2015,AUTOMATIC,Diesel,58426.0,808000,autodeal
22,HYUNDAI,Santa Fe,2013,AUTOMATIC,Diesel,79018.0,729900,autodeal
23,HONDA,City,2017,CVT,Gasoline,40000.0,530000,autodeal
24,MITSUBISHI,Mirage G4,2015,MANUAL,Gasoline,60000.0,330000,autodeal
25,NISSAN,Sylphy,2018,CVT,Gasoline,26000.0,755000,autodeal
26,CHEVROLET,Trailblazer,2018,AUTOMATIC,Diesel,54000.0,879000,autodeal
27,MITSUBISHI,Adventure,2015,MANUAL,Diesel,82000.0,419000,autodeal
28,HYUNDAI,Accent,2015,AUTOMATIC,Gasoline,76000.0,349000,autodeal
29,MINI,Cooper,2017,AUTOMATIC,Gasoline,26000.0,2000000,autodeal
30,HYUNDAI,Grand Starex,2010,AUTOMATIC,Diesel,101030.0,640500,autodeal
31,MITSUBISHI,L200,2012,MANUAL,Diesel,90000.0,485000,autodeal
32,SUZUKI,Ertiga,2015,AUTOMATIC,Gasoline,40000.0,490000,autodeal
33,TOYOTA,Land Cruiser,2017,AUTOMATIC,Diesel,26000.0,5700000,autodeal
34,DODGE,Durango,2015,AUTOMATIC,Gasoline,28000.0,1600000,autodeal
35,TOYOTA,Vios,2017,MANUAL,Gasoline,43000.0,399000,autodeal
36,FORD,Fiesta Sedan,2014,AUTOMATIC,Gasoline,59000.0,309000,autodeal
37,MAZDA,CX-5,2016,AUTOMATIC,Diesel,55000.0,669000,autodeal
38,HONDA,CR-V,2019,AUTOMATIC,Gasoline,37000.0,1109000,autodeal
39,MAZDA,2 Sedan,2016,AUTOMATIC,Gasoline,58000.0,469000,autodeal
40,HONDA,FN2,2009,MANUAL,Gasoline,24000.0,2800000,autodeal
41,HONDA,City,2017,AUTOMATIC,Gasoline,28000.0,588000,autodeal
42,ISUZU,Sportivo,2015,MANUAL,Diesel,0.0,588000,autodeal
43,TOYOTA,Avanza,2018,MANUAL,Gasoline,54000.0,539000,autodeal
44,LEXUS,LS,2003,AUTOMATIC,Gasoline,39000.0,600000,autodeal
45,MITSUBISHI,Mirage G4,2019,MANUAL,Gasoline,24000.0,438000,autodeal
46,HONDA,Civic,2011,AUTOMATIC,Gasoline,0.0,398000,autodeal
47,MITSUBISHI,Adventure,2017,MANUAL,Diesel,0.0,588000,autodeal
48,TOYOTA,Innova,2018,AUTOMATIC,Diesel,43000.0,1028000,autodeal
49,FORD,Ranger,2014,AUTOMATIC,Diesel,59000.0,698000,autodeal
